Code,Food name,Edible conversion factor,Energy (kj),Water (g),Ash (g),Protein (g),Fat (g),Fibre (g),Carbohydrate available (g),Energy (kcal),Ca (mg),Fe (mg),Mg (mg),P (mg),K (mg),Na (mg),Zn (mg),Se (mcg),Vit A-RAE (mcg),Vit A-RE (mcg),Retinol (mcg),b-carotene equivalent (mcg),Thiamin (mg),Riboflavin (mg),Niacin (mg),Dietary Folate Eq. (mcg),Food folate (mcg),Vit B12 (mcg),Vit C (mg)
4051,"Cabbage, leaf head, white, stewed (without salt)",1,82,93.3,0.7,1.2,0.1,2.4,2.4,20,50,0.5,10,43,336,40,0.25,1,tr,tr,0,tr,0.04,0.04,0.4,11,11,0,32
4008,"Capsicum (sweet peper), green, raw",0.4,95,93.3,0.2,1.5,0.1,2,2.9,23,8,0.5,10,17,151,2,0.18,0,27,55,0,328,0.03,0.03,0.5,8,8,0,115
 SD or min-max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90-140
 n,,,,1,1,1,1,1,,,1,1,1,1,1,1,1,1,,,,,1,1,1,,1,,2
4052,"Capsicum (sweet peper), green, boiled, drained (without salt)",1,109,92.3,0.2,1.7,0.1,2.3,3.3,26,9,0.5,7,18,87,2,0.16,0,28,57,0,339,0.02,0.02,0.4,5,5,0,86
4053,"Capsicum (sweet peper), green, grilled (without salt and fat)",1,102,92.8,0.2,1.6,0.1,2.2,3.1,24,9,0.6,11,18,162,2,0.19,0,26,53,0,317,0.03,0.03,0.5,6,6,0,99
4054,"Capsicum (sweet peper), green, baked (without salt)",1,98,93,0.2,1.6,0.1,2.1,3,23,8,0.6,10,18,157,2,0.19,0,26,51,0,308,0.03,0.03,0.5,6,6,0,96
4009,"Capsicum (sweet peper), red, raw",0.4,110,92.4,0.4,1.7,0.2,1.8,3.5,26,4,0.3,6,24,174,2,0.2,1,21,41,0,246,0.04,0.05,1,52,52,0,156
 SD or min-max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140-172
 n,,,,1,1,1,1,1,,,1,1,1,1,1,1,1,1,,,,,1,1,1,,1,,2
4055,"Capsicum (sweet peper), red, boiled, drained (without salt)",1,127,91.3,0.5,2,0.2,2.1,4,30,4,0.3,4,25,100,2,0.17,1,21,42,0,254,0.03,0.04,0.7,30,30,0,117
4056,"Capsicum (sweet peper), red, grilled (without salt and fat)",1,118,91.8,0.4,1.8,0.2,1.9,3.8,28,4,0.3,6,26,187,2,0.22,1,20,40,0,238,0.04,0.05,1,39,39,0,134
4057,"Capsicum (sweet peper), red, baked (without salt)",1,115,92.1,0.4,1.8,0.2,1.9,3.6,27,4,0.3,6,25,181,2,0.21,1,19,38,0,231,0.04,0.05,1,38,38,0,130
4010,"Capsicum (sweet peper), yellow, raw",0.46,86,93.4,0.6,1.4,0.2,2.2,2.3,21,19,1,17,43,242,2,0,0,14,28,0,166,0.14,0.02,0.59,30,30,0,127
SD or min-max ,,,,,0.5-0.7,,,,,,,,,,,,,,,,,,,,,,,,
 n,,,,1,2,1,1,1,,,1,1,1,1,1,1,1,1,,,,,1,1,1,,1,,1
4058,"Capsicum (sweet peper), yellow, boiled, drained (without salt)",1,99,92.4,0.7,1.6,0.2,2.5,2.6,24,21,0.6,12,45,139,1,0.22,0,14,29,0,172,0.1,0.01,0.4,17,17,0,95
4059,"Capsicum (sweet peper), yellow, grilled (without salt and fat)",1,93,92.9,0.7,1.5,0.2,2.4,2.4,22,21,0.7,19,47,260,2,0.28,0,13,27,0,161,0.14,0.02,0.6,23,23,0,109
4060,"Capsicum (sweet peper), yellow, baked (without salt)",1,90,93.1,0.6,1.4,0.2,2.3,2.4,22,20,0.7,18,45,252,2,0.27,0,13,26,0,156,0.13,0.02,0.6,22,22,0,106
4011,"Carrot, peeled, raw",0.83,124,90.6,0.6,0.7,[0.2],3.2,4.5,30,33,0.6,17,25,251,35,0.14,0,589,1180,0,7070,0.04,0.03,0.22,18,18,0,5.5
SD or min-max,,,,,,,,,,,,,,,,12,,,,,,,0,0.01,,,,,2.5
 n,,,,1,1,1,1,1,,,1,1,1,1,1,3,1,1,,,,,3,4,1,,1,,3
4061,"Carrot, peeled, boiled, drained (without salt)",1,132,90,0.7,0.8,0.3,3.4,4.8,32,34,0.5,11,24,120,21,0.11,0,564,1130,0,6770,0.03,0.02,0.2,10,10,0,2
4062,"Carrot, peeled, stewed (without salt)",1,129,90.2,0.7,0.8,0.2,3.4,4.7,31,35,0.6,17,26,261,37,0.14,0,552,1110,0,6630,0.04,0.03,0.2,13,13,0,5
4012,"Cauliflower, tops and stems, raw",0.7,79,93.2,0.9,2,0.2,2.8,0.9,19,17,0.8,11,49,292,30,0,1,0,0,0,2,0.06,0.09,0.5,44,44,0,70
SD or min-max ,,,,1.7,,0,,,,,,0.5-1.2,7-14,,,,,,,,,,,,,,22-65,,
 n,,,,3,1,3,1,1,,,1,2,2,1,1,1,1,1,,,,,1,1,1,,2,,1
4063,"Cauliflower, tops and stems, boiled, drained (without salt)",1,79,93.2,0.9,2,0.2,2.8,0.9,19,16,0.6,6,44,146,23,0.19,0,0,0,0,1,0.04,0.06,0.3,22,22,0,46
4013,"Celery, stalk, raw",0.65,114,90.9,1.8,0.6,0.1,1.4,5.3,27,70,1,19,50,267,28,0.21,2,39,78,0,465,0.03,0.03,0.4,13,13,0,12
SD or min-max ,,,,,1.4-2.1,,,,,,19,0.6-1.3,,,,16-40,,,,,,,0.03-0.03,,,,,,7-17
 n,,,,2,2,1,1,1,,,3,2,1,1,1,2,1,1,,,,,2,1,1,,1,,2
4064,"Celery, stalk, boiled, drained (without salt)",1,127,89.9,1.9,0.7,0.1,1.6,5.8,30,74,0.8,13,50,148,23,0.18,2,39,78,0,465,0.02,0.02,0.3,7,7,0,9
4014,"Courgette, green, unpeeled, raw",0.93,78,94.8,0.4,0.9,0.3,1.1,2.5,19,18,0.5,16,34,188,1,0.33,1,23,46,0,278,0.03,0.06,0.6,17,17,0,24
 n,,,,1,1,1,1,1,,,1,1,1,1,1,1,1,1,,,,,1,1,1,,1,,1
4065,"Courgette, green, unpeeled, boiled, drained (without salt)",1,86,94.2,0.4,1,0.3,1.2,2.8,21,19,0.4,11,34,104,1,0.28,1,14,28,0,168,0.02,0.04,0.4,9,9,0,17
4015,"Cowpea, leaves, picked, raw",0.59,123,88.7,1.9,3.4,[0.4],4.9,0.7,30,188,2.7,47,17,485,31,1,1,36,72,0,0,0.49,0.37,1.6,95,95,0,50
SD or min-max,,,,,,,,,,,,,10,8,,,,,,,,,,,,,,,
 n,,,,1,1,1,1,1,,,1,1,3,3,1,1,1,1,,,,,1,1,1,,1,,1
4066,"Cowpea, leaves, picked, boiled, drained (without salt)",1,117,89.2,1.8,3.2,0.4,4.7,0.6,28,170,1.9,27,15,231,22,0.53,0,0,0,0,0,0.3,0.23,1,45,45,0,19
4067,"Cowpea, leaves, picked, steamed (without salt)",1,107,90.2,1.7,2.9,0.4,4.3,0.6,26,155,1.9,37,14,358,23,0.58,0,0,0,0,0,0.34,0.29,1.1,49,49,0,24
4016,"Cucumber, green, unpeeled, raw",0.97,47,96.2,0.5,0.6,0.1,1.4,1.3,11,20,0.7,14,20,136,22,0.18,1,0,1,0,5,0.03,0.02,0.2,7,7,0,7
SD or min-max ,,,,95.4-97,,0.24,,,,,17-22,,,17-24,,16-29,,,,,,,,,,,,,7-7
 n,,,,2,1,4,1,1,,,2,1,1,2,1,2,1,1,,,1,,1,1,1,,1,,2
4017,"Eggplant / Brinjal, different varieties, whole edible, raw",0.91,111,90.8,0.9,1.2,0.3,4,2.8,27,18,0.4,21,35,200,3,0.21,1,12,24,0,146,0.05,0.05,1,29,29,0,2
SD or min-max ,,,,2,0.4,0.3,,,,,5,,,31-40,,3-3,,,,,,,,,,,,,
 n,,,,4,4,4,1,1,,,3,1,1,2,1,2,1,1,,,,,1,1,1,,1,,1
4068,"Eggplant / Brinjal, different varieties, whole edible, boiled, drained (without salt)",1,119,90.1,1,1.3,0.3,4.3,3,29,19,0.3,14,34,108,2,0.17,0,12,24,0,141,0.03,0.03,0.4,16,16,0,1
4069,"Eggplant / Brinjal, different varieties, whole edible, stewed (without salt)",1,139,88.5,1.2,1.5,0.4,5,3.4,33,23,0.5,26,44,250,4,0.26,1,14,27,0,164,0.06,0.06,0.6,25,25,0,2
4018,"Jute mallow, picked leaves, raw",0.48,187,82.3,2.5,4.6,[0.2],8.3,2.1,45,207,6.3,30,88,283,18,0.58,1,217,434,0,2603,0.09,0.34,0.53,117,117,0,44.5
 n,,,,1,1,1,1,1,,,1,1,1,1,1,1,1,1,,,,,1,1,1,,1,,1
4070,"Jute mallow, picked leaves, boiled, drained (without salt)",1,197,81.4,2.6,4.9,0.2,8.7,2.2,47,207,5,19,84,149,14,0.46,1,205,411,0,2466,0.06,0.23,0.4,61,61,0,18.3
4071,"Jute mallow, picked leaves, stewed (without salt)",1,231,78.2,3.1,5.7,0.2,10.2,2.6,56,255,7.8,37,109,349,23,0.72,1,241,482,0,2892,0.1,0.4,0.6,101,101,0,32.2
4019,"Kale, Ethiopian (kanzera), leaves, raw",0.61,113,90.4,1.6,3.3,0.6,4,0.2,27,117,5.7,54,51,639,7,0.7,tr,118,236,0,1418,0.06,0.23,0.9,73,73,0,134
 n,,,,1,1,1,1,1,,,1,1,1,1,1,1,1,1,,,,,1,1,1,,1,,
4072,"Kale, Ethiopian (kanzera), leaves, boiled, drained (without salt)",1,108,90.8,1.5,3.1,0.6,3.8,0.2,26,105,4,31,43,304,5,0.48,tr,101,203,0,1215,0.04,0.14,0.6,35,35,0,51
4073,"Kale, Ethiopian (kanzera), leaves, steamed (without salt)",1,99,91.6,1.4,2.8,0.5,3.5,0.2,24,96,3.9,42,42,472,5,0.52,tr,92,185,0,1109,0.04,0.18,0.6,38,38,0,64
4020,Kale (sukuma wiki) raw,0.88,121,89.2,1.6,3,[0.3],4.7,1.2,29,402,2.8,41,67,238,71,0.5,0,177,355,0,2127,0.11,0.13,1,62,62,0,134
SD or min-max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110-157
 n,,,,1,1,1,1,1,,,1,1,1,1,1,1,1,1,,,,,1,1,1,,1,,2
4074,"Kale (sukuma wiki), boiled, drained (without salt)",1,115,89.7,1.5,2.9,0.3,4.4,1.2,28,364,2,23,57,113,51,0.34,0,152,304,0,1823,0.07,0.08,0.6,30,30,0,51
4075,"Kale (sukuma wiki), steamed (without salt)",1,105,90.6,1.4,2.6,0.3,4.1,1.1,25,332,2,32,55,176,53,0.37,0,139,277,0,1665,0.08,0.1,0.7,33,33,0,64
4021,"Leeks, bulb and stem, raw",0.65,229,84.5,0.8,1.7,0.4,3.1,9.5,54,78,1.8,14,54,202,17,0.3,1,20,40,0,242,0.14,0,0,64,64,0,21
SD or min-max ,,,,80.5-88.6,0.6-1.1,1.3-2.1,,,,,39-118,1.8-1.8,,53-53,,,,,,,,,0.05-0.23,,,,,,11-30
 n,,,,2,2,2,1,1,,,2,2,1,2,1,1,1,1,,,,,2,1,1,,1,,2
4076,"Leeks, bulb and stem, boiled, drained (without salt)",1,276,81.4,1,2,0.5,3.7,11.4,66,90,1.6,10,58,110,11,0.27,1,22,44,0,262,0.12,0.07,0.3,39,39,0,10
4022,"Lettuce, not further defined, raw",1,73,94.4,0.7,1.2,0.2,1.6,1.9,17,47,1.6,24,55,201,20,0.26,1,107,214,0,1285,0.08,0.05,0.26,66,66,0,10
SD or min-max,,,,,,,,,,,32-63,1.4-1.9,16-32,43-66,,,,,,,,,0.06-0.09,,0.2-0.3,,43-89,,10-10
 n,,,,1,1,1,1,1,,,2,2,2,2,1,1,1,1,,,,,2,1,2,,2,,2
4023,"Mushroom, fresh, raw",1,148,89.7,0.9,2.3,0.4,2.3,4.5,35,16,0.3,15,105,318,8,0.17,16,0,0,0,0,0.1,0.4,0.7,23,23,0,0
SD or min-max ,,,,89.3-90.1,0.9-0.9,,,1.4-3.1,,,12-20,,,100-110,,,,,,,,,,,,,,0-0,
 n,,,,2,2,1,1,2,,,2,1,1,2,1,1,1,1,,,,,1,1,1,,1,2,1
4077,"Mushroom, fresh, boiled, drained (without salt)",1,203,85.9,1.2,3.2,0.5,3.1,6.1,48,21,0.3,12,129,218,8,0.17,20,0,0,0,0,0.09,0.36,0.6,16,16,0,0
4078,"Mushroom, fresh, stewed (without salt)",1,183,87.3,1.1,2.8,0.5,2.8,5.5,43,20,0.4,19,130,393,10,0.21,20,0,0,0,0,0.11,0.47,0.8,20,20,0,0
4024,"Mushroom, dried, raw      ",1,1180,11.9,1.4,12.3,[2.9],39.1,32.4,283,24,5.5,136,702,326,5,8.7,0,0,0,0,0,0.24,0.17,3.77,163,163,0,0
SD or min-max ,,,,9.8-14,,,,,,,,5.2-5.7,,,,3-6,,,,,,,,,,,,,
 n,,,,2,1,1,1,1,,,1,2,1,1,1,2,1,1,,,,,1,1,1,,1,,1
4079,"Mushroom, dried, boiled, drained (without salt)",1,674,49.6,0.8,7,1.6,22.4,18.5,162,14,2.3,47,361,93,3,3.72,0,0,0,0,0,0.09,0.06,1.4,47,47,0,0
4025,"Mushroom, raw, canned in brine (drained)",1,73,93,1.2,1.5,0.4,3.7,0.2,18,4,1,4,54,24,300,0,16,4,7,0,42,0.23,0.05,1.3,22,22,0,3
SD or min-max ,,,,,,,0.3-0.5,,,,,,,,,,,,,,,,,,,,,,
 n,,,,1,1,1,2,1,,,1,1,1,1,1,1,1,1,,,,,1,1,1,,1,,1
4026,"Okra, fresh, raw       ",0.74,136,90,0.7,2,0.2,3.7,3.5,32,81,0.8,57,63,303,8,0.6,1,9,19,0,112,0.1,0.06,1,88,88,0,21
 n,,,,1,1,1,1,1,,,1,1,1,1,1,1,1,1,,,1,,1,1,1,,1,,1
4080,"Okra, fresh, boiled, drained (without salt)",1,123,90.5,0.6,1.8,0.2,3.4,4.1,29,70,0.5,31,52,138,5,0.41,1,8,15,0,91,0.05,0.04,0.6,40,40,0,12
4081,"Okra, fresh, stewed (without salt)",,147,88.7,1.8,2.2,0.2,4,6.1,35,84,0.7,56,65,280,7,0.59,1,9,18,0,109,0.08,0.06,0.9,57,57,0,17
4027,"Pumpkin, flesh, yellow w/o seeds, raw",0.8,134,90.3,0.7,1.2,[0.2],2.4,5.2,32,17,0.2,12,31,178,14,0.21,1,126,252,0,1512,0.07,0.06,0.78,50,50,0,8
 n,,,,1,1,1,1,1,,,1,1,1,1,1,1,1,1,,,,,1,1,1,,1,,1
4082,"Pumpkin, flesh, yellow w/o seeds, boiled, drained (without salt)",1,146,89.5,0.8,1.3,0.2,2.6,5.6,35,18,0.2,8,30,97,11,0.17,0,123,246,0,1479,0.05,0.04,0.5,27,27,0,6
4083,"Pumpkin, flesh, yellow w/o seeds, boiled, drained (without salt)",,119,91.4,0.7,1.1,0.2,2.1,4.6,28,15,0.2,11,27,157,12,0.19,0,100,201,0,1204,0.06,0.05,0.7,31,31,0,6
4028,"Pumpkin, leaves, raw",0.82,156,87.3,3.2,4.2,[0.7],2.3,2.2,37,383,5.6,142,119,423,12,0.9,1,141,283,0,1695,0.07,0.12,1.49,36,36,,12.3
 n,,,,1,1,1,1,1,,,1,1,1,1,1,1,1,1,,,,,1,1,1,,1,,1
4084,"Pumpkin, leaves, boiled, drained (without salt)",1,148,87.9,3.1,4,0.7,2.1,2.1,35,347,4,81,102,201,9,0.64,1,121,242,0,1453,0.04,0.07,0.9,17,17,0,5
4085,"Pumpkin, leaves, steamed (without salt)",1,135,89,2.8,3.7,0.6,2,1.9,32,316,3.9,111,98,313,9,0.7,1,111,221,0,1327,0.05,0.09,1,19,19,0,6
4029,"Spider plant, leaves, raw",0.28,180,85,3,4.8,[0.8],4.3,2.1,43,189,2.6,48,49,478,19,0.76,2,217,434,0,2603,0.1,0.12,1.3,346,346,0,64
SD or min-max ,,,,3,,,0.4-1.1,,,,,,,,,,,,,,,,,,,,,,50-78
 n,,,,4,1,1,2,,,,1,1,1,1,1,1,1,1,,,,,1,1,1,,1,,2
4086,"Spider plant, leaves, boiled, drained (without salt)",1,172,85.7,2.9,4.6,0.7,4.1,2,41,171,1.9,27,42,228,13,0.54,2,186,372,0,2231,0.06,0.07,0.8,165,165,0,24
4087,"Spider plant, leaves, steamed (without salt)",1,157,86.9,2.6,4.2,0.7,3.8,1.9,38,156,1.8,37,40,353,14,0.59,1,170,339,0,2037,0.07,0.09,0.9,181,181,0,31
4030,"Spinach, leaves, raw",0.74,112,89.8,1.8,2.8,0.4,4.1,1.1,27,131,1.7,72,28,570,59,1,1,189,377,0,2260,0.03,0.18,0.4,110,110,0,37
SD or min-max ,,,,88.6-91.1,,1.8-3.8,0.3-0.4,,,,96-165,,,,,,,,,,,,,0.1,,,,,27-46
 n,,,,2,1,2,2,1,,,2,1,1,1,1,1,1,1,,,,,1,3,1,,1,,2
4088,"Spinach, leaves, boiled, drained (without salt)",1,118,89.3,1.9,2.9,0.4,4.3,1.2,28,131,1.4,45,27,300,46,0.47,0,179,357,0,2140,0.02,0.12,0.3,58,58,0,15
4089,"Spinach, leaves, stewed (without salt)",1,139,87.4,2.2,3.5,0.4,5.1,1.4,33,161,2.1,89,35,704,72,0.74,1,209,419,0,2510,0.03,0.21,0.5,95,95,0,27
4031,"Spinach, Swiss chard, leaves, raw",0.5,102,90.3,2,3.1,[0.2],3.6,0.7,25,117,4.4,78,50,348,892,0.73,1,190,380,0,2280,0.03,0.1,0.6,121,121,0,24
 n,,,,1,1,1,1,1,,,1,1,1,1,1,1,1,1,,,,,1,1,1,,1,,1
4090,"Spinach, Swiss chard, leaves, boiled, drained (without salt)",1,108,89.8,2.1,3.3,0.2,3.8,0.8,26,117,3.5,49,47,183,704,0.58,1,180,360,0,2160,0.02,0.07,0.4,64,64,0,10
4091,"Spinach, Swiss chard, leaves, stewed (without salt)",1,126,88,2.5,3.9,0.3,4.5,0.9,30,144,5.4,96,62,430,1101,0.9,1,211,422,0,2530,0.03,0.12,0.7,105,105,0,18
4032,"Squash, butternut, peeled, flesh, raw",0.85,182,87.3,0.8,1.5,[0.1],2.5,7.8,43,18,1,16,19,332,7.7,0.2,1,160,320,0,1920,0.07,0.06,1.02,31,31,0,8
 n,,,,1,1,1,1,1,,,1,1,1,1,1,1,1,1,,,,,1,1,1,,1,,1
4092,"Squash, butternut, peeled, flesh, boiled, drained (without salt)",1,204,85.7,0.9,1.6,0.1,2.8,8.8,48,19,0.8,11,20,186,7,0.16,1,162,324,0,1940,0.05,0.04,0.7,18,18,0,6
4093,"Squash, butternut, peeled, flesh, steamed (without salt)",1,204,85.7,0.9,1.6,0.1,2.8,8.8,48,19,0.9,16,21,317,7,0.2,1,162,324,0,1940,0.06,0.06,0.9,21,21,0,7
4094,"Squash, butternut, peeled, flesh, baked (without salt)",1,214,85.1,1,1.7,0.1,2.9,9.2,51,21,1.2,19,23,390,9,0.23,1,169,339,0,2030,0.07,0.06,1.1,26,26,0,8
4033,"Stinging nettle, leaves, raw",0.75,248,80,4.9,5.4,[0.7],[2.1],6.7,59,668,7.2,133,122,524,36,1,2,2,3,0,,0.04,0,1,457,457,0,5
 n,,,,1,1,1,1,1,,,1,1,1,1,1,1,1,1,,,,,1,1,1,,1,,1
4095,"Stinging nettle, leaves, boiled, drained (without salt)",1,237,81.1,4.7,5.1,0.7,2,6.4,56,604,5.2,76,105,250,26,0.49,2,0,0,0,0,0.02,0.19,0.7,218,218,0,2
4096,"Stinging nettle, leaves, steamed (without salt)",1,216,82.8,4.3,4.7,0.6,1.8,5.8,51,552,5,104,101,387,27,0.54,2,0,0,0,0,0.03,0.24,0.7,238,238,0,2
4034,Sweet Potato (Leaves),1,150,87.6,1.4,4.3,0.5,5.3,0.8,36,118,1,61,30,620,6,0.29,1,189,378,0,2270,0.1,0.35,1.1,1,1,0,11
SD or min-max ,,,,0.7,0,4-4.6,0.5-0.6,,,,,,,,,,,,,,,,,,,,,,
 n,,,,3,3,2,2,1,,,1,1,1,1,1,1,1,1,,,,,1,1,1,,1,,1
4035,"Tomato, green, raw",0.98,95,93.2,0.6,1.1,0.2,1.6,3.3,23,8,0.4,14,23,225,13,0.2,8,3,5,0,32,0.08,0.1,0.5,9,9,0,16
 n,,,,1,1,1,,1,,,1,1,1,1,1,1,1,1,,,,,1,1,1,,1,,1
4097,"Tomato, green, boiled, drained (without salt)",1,121,91.3,0.8,1.4,0.3,2.1,4.2,29,10,0.4,10,26,144,13,0.15,10,3,6,0,37,0.07,0.04,0.4,6,6,0,14
4036,"Tomato, red, ripe, raw",0.98,92,93.6,0.5,1,[0.2],1.4,3.3,22,8,0.9,9.5,25,126,21,0.37,0,26,53,0,316,0.04,0.04,0.5,25,25,0,25
SD or min-max,,,,,,,,,,,8-9,,,,,,,,,,,,,,,,,,
 n,,,,1,1,1,1,1,,,2,1,1,1,1,1,1,1,,,,,1,1,1,,1,,1
4098,"Tomato, red, ripe, boiled, drained (without salt)",1,118,91.8,0.7,1.3,0.3,1.8,4.2,28,10,0.8,7,28,81,20,0.35,0,30,61,0,365,0.04,0.04,0.5,16,16,0,21
4037,"Tomato, canned, whole contents",1,84,94,0.5,1,0.1,1.3,3.1,20,22,0.6,11,20,204,68,0.16,1,28,56,0,334,0,0,0.6,26,26,0,6
SD or min-max ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 n,,,,1,1,1,1,1,,,1,1,1,1,1,1,1,1,,,,,1,1,1,,1,,1
4038,"Vine (African) spinach, picked leaves, raw",0.94,117,90.4,1.6,3.4,0.7,3.7,0.2,28,267,10.9,40,56,446,8,0.5,tr,184,369,0,2210,0.1,0.2,0.9,71,71.3,0,79.8
SD or min-max ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17
 n,,,,1,1,1,1,1,,,1,1,1,1,1,1,1,1,,,,,1,1,1,,1,,3
4099,"Vine (African) spinach, picked leaves, boiled, drained (without salt)",1,123,89.9,1.7,3.6,0.7,3.9,0.2,30,267,8.6,25,53,234,6,0.36,0,175,349,0,2100,0.04,0.14,0.6,38,38,0,34
5,FRUITS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5001,"Apple, green skin, unpeeled, raw",0.9,231,85,0.2,0.3,0,2.4,12.2,55,6,0.4,4,10,99,2,0.07,1,1,2,0,11,0.025,0.01,0.1,0,0,0,4
 SD or min-max,,,,0,0.1,0.1,0-0,2.3-2.5,,,3,0.5,4-4,3,90-108,1-2,0.07-0.07,1-1,,,0-0,,0.02-0.03 ,0.01-0.01 ,0.1-0.1 ,,0-0 ,,2
 n,,,,3,3,3,2,2,,,3,3,2,3,2,2,2,2,,,2,,2,2,2,,2,,3
5002,"Apple, red, unpeeled, raw",0.9,239,84.6,0.25,0.3,0.1,2.3,12.4,57,6,0.3,4,9,100,1,0.07,1,1,2,0,14,0.02,0.01,0.13,5,5,0,4
 SD or min-max,,,,1,0.05,0.1,0.2,0.1,,,2,0.4,1,2,10,1,0.04,0,,,,,0,0.01,0.07,,11,,2
 n,,,,6,6,6,5,5,,,6,6,5,6,5,5,5,5,,,,,5,5,5,,5,,6
5003,"Avocado, ripe, raw",0.71,761,74,1.9,1.6,19.6,4,0,185,19,1,25,41,281,7,0.39,0,2,5,0,27,0.07,0.15,1.8,67,67,0,14
 SD or min-max,,,,,1.2-2.7,,,,,,19-19,,,36-46,,,,,,,,,,,,,,,10-18
 n,,,,1,2,1,1,1,,,2,1,1,2,1,1,1,1,,,,,1,1,1,,1,,2
5004,"Banana, cavendish, raw",0.62,402,74.4,0.9,1.08,[0.3],2.75,20.6,95,10,0.3,26,37,187,0,0.36,0,5,9,0,56,0.05,0.05,0.35,22,22,0,4
 SD or min-max,,,,,,,,,,,9-10,,24-28,,,,,,,,,,,,,,,,
 n,,,,1,1,1,1,1,,,2,,2,1,1,,1,1,,,,,1,1,,,1,,
5005,"Baobab fruit, powderly part, dry, raw",0.23,1335,13.1,5.2,2.3,0.4,[6.8],72.2,315,283,5,108,56,1613,56,0.88,24,0,0,0, tr,0.04,0.2,1.5,50,50,0,13.7
 SD or min-max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 n,,,,1,1,1,1,1,,,1,1,1,1,1,1,1,1,,,,,1,1,1,,1,,1
5006,"Custard apple, peeled, raw",0.72,386,75,0.8,1.7,[0.7],5.1,17,92,28,0.4,38,22,278,3,0,0,0,0,0,0,0.07,0.13,0.7,37,37,0,22
 SD or min-max,,,,3,0.6-0.9,0.3,0.3,,,,,,,19-26,,,,,,,,,,0.09-0.17,,,,,
 n,,,,3,2,3,3,1,,,1,1,1,2,1,1,1,,,,,,1,2,1,,1,,1
5007,"Date, dried",0.84,1292,17.2,1.9,2.4,0.2,9.7,68.7,305,82,2.6,50,72,730,14,0.6,3,2,4,0,23,0.03,0.13,1.4,19,19,0,5
 SD or min-max,,,,,,2-2.7,,,,,,,,58-85,,,,,,,,,0-0.06,0.1-0.15 ,,,,,
 n,,,,1,1,2,1,1,,,1,1,1,2,1,1,1,1,,,,,2,2,1,,1,,1
5008,"Date, raw",0.86,645,60.2,1,1.6,0.1,[1.8],35.3,152,34,0.3,24,28,410,7,0.2,1,2,3,0,20,0.06,0.07,0.7,25,25,0,22
 SD or min-max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-30
 n,,,,1,1,1,,,,,1,1,1,1,1,1,1,1,,,,,1,1,1,,1,,2
5009,"Doumpalm fruit, raw",0.28,1180,17.6,5.9,2.8,[0.7],[14.8],58.3,280,73,18,53,45,862,0.47,3.4,-,-,-,0,-,0.05,0.1,-,0,-,0,-
 SD or min-max,,,,6.3,4.5-7.3,1.11,0.4-0.9,14-15.5,,,68-78,4,,,,,,,,,,,,,,,,,
 n,,,,3,2,3,2,2,,,2,3,1,1,1,1,1,,,,,,1,1,,,,,
5010,"Grapes, green, raw",0.95,302,80.7,0.6,0.6,0.1,2,16,71,14,0.3,7.1,24,171,3,0.1,0,2,5,0,29,0.03,0.03,0.2,4,4,0,14
 SD or min-max,,,,79.2-82.2,,0.5-0.6,,1.3,,,4,0.1,1,5,8,2,0,0,,,,,0.02,0.01,0.2,,,,6
 n,,,,2,1,2,1,3,,,4,4,3,4,3,3,3,3,,,,,3,3,3,,1,,3
5011,"Guava, pink-fleshed, raw",1,196,80.7,0.8,1.1,1.1,15.5,0.9,48,20,0.4,18,31,334,1,0.26,tr,22,45,0,267,0.06,0.05,0.6,16,16,0,222
 SD or min-max,,,,,,,,,,,16-24,,,30-31,,,,,,,,,,,,,,,
 n,,,,1,1,1,1,1,,,2,1,1,2,1,1,1,,,,,,1,1,1,,1,,1
5012,"Jackfruit, fruit, yellow-fleshed, peeled, raw",0.23,403,73.2,1.9,1.4,[0.2],2.8,20.5,95,35,0,32,23,279,2,0.76,0,7,15,0,90,0.07,0.13,0.7,19,19,0,7
 SD or min-max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 n,,,,1,1,1,1,1,,,1,1,1,1,1,1,1,1,,,,,1,1,1,,1,,1
5013,"Lemon, juice, home squeezed",1,198,87,0.25,0.6,0.2,2.5,9.5,47,20,0.3,12,10,120,2,0,0,1,2,0,10,0.02,0.01,0.2,11,11,0,44
 SD or min-max,,,,85-89,0.2-0.3,,,,,,,,9-14,,,,,,,,,,,,,,,,39-48
 n,,,,2,2,1,1,1,,,1,1,2,1,1,1,1,1,,,,,1,1,1,,1,,2
5014,"Lemon peel, raw",1,213,81.6,0.6,1.5,0.3,10.6,5.4,52,134,0.8,15,12,160,6,0.25,1,3,5,0,30,0.06,0.08,0.4,13,13,0,129
 SD or min-max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 n,,,,1,1,1,1,1,,,1,1,1,1,1,1,1,1,,,,,1,1,1,,1,,1
